".ID.","mutation_rate","n_nodes","n_elite","n_new","toursize","n_samples","acc_w","n_repetitions",".PARENT."
1,"1","10",2,10,"2",200,0.5,5,NA
2,"4","20",37,439,"10",1516,0.5584,20,NA
3,"4","10",31,406,"20",527,0.5034,18,NA
4,"4","20",15,391,"2",1956,0.8029,65,NA
5,"3","50",39,647,"2",1780,0.7052,19,NA
6,"3","10",47,511,"15",1539,0.0259,33,NA
7,"3","10",58,464,"2",1627,0.0263,100,NA
8,"4","30",19,144,"2",736,0.4256,81,NA
9,"2","50",38,143,"2",274,0.3374,75,1
10,"1","20",22,364,"10",1052,0.4385,68,1
11,"2","60",23,304,"2",781,0.4905,11,1
12,"2","20",18,106,"3",744,0.9739,30,1
13,"3","10",53,164,"2",390,0.4479,23,1
14,"1","20",21,365,"5",526,0.2729,14,1
15,"1","50",9,371,"2",678,0.3708,92,1
16,"1","40",27,384,"10",567,0.1891,23,11
17,"1","10",38,156,"5",788,0.4276,32,1
18,"1","20",45,278,"3",157,0.8827,16,1
19,"1","10",42,17,"5",368,0.745,27,1
20,"2","20",33,138,"2",330,0.1829,27,1
21,"2","20",28,282,"3",970,0.4257,18,1
22,"1","10",14,83,"2",872,0.0673,4,1
23,"1","40",7,60,"2",598,0.479,33,1
24,"1","10",14,144,"2",213,0.3963,23,1
25,"1","20",10,489,"5",441,0.9218,5,18
26,"1","10",8,189,"2",490,0.2068,29,1
27,"1","10",16,312,"3",373,0.1089,39,1
28,"2","10",63,968,"2",813,0.9197,45,18
29,"1","10",12,155,"2",367,0.4268,7,1
30,"1","10",16,321,"2",237,0.8759,2,1
31,"1","10",11,404,"2",158,0.8867,12,1
32,"1","20",6,140,"3",677,0.252,29,1
33,"1","20",42,396,"5",90,0.5878,58,18
34,"2","20",15,21,"2",549,0.4362,26,1
35,"1","30",23,493,"3",321,0.7752,22,18
36,"1","30",5,71,"2",472,0.2993,15,1
37,"2","20",57,68,"3",407,0.7031,17,18
38,"2","10",35,321,"2",401,0.4571,30,1
39,"1","10",17,463,"3",214,0.9835,8,18
40,"2","10",12,150,"3",717,0.4019,17,1
41,"1","10",23,484,"2",40,0.8612,40,18
42,"1","20",8,51,"2",125,0.4987,22,1
43,"1","20",40,280,"3",209,0.9947,4,18
44,"1","10",8,347,"2",288,0.7706,4,30
45,"1","10",3,379,"2",541,0.9624,3,30
46,"2","10",30,286,"3",308,0.7442,8,30
47,"1","10",13,282,"2",291,0.993,14,30
48,"1","10",30,403,"3",268,0.817,6,30
49,"1","20",6,34,"3",54,0.4978,28,1
50,"1","10",4,317,"3",388,0.5442,18,1
51,"1","10",26,120,"2",514,0.6259,9,1
52,"1","10",12,276,"3",332,0.6282,4,1
53,"1","20",10,90,"3",160,0.578,16,1
54,"1","20",29,346,"2",452,0.9055,15,30
55,"1","10",16,206,"2",185,0.7013,14,30
56,"1","10",13,131,"2",137,0.4916,18,1
57,"1","20",16,503,"3",301,0.8906,5,30
58,"1","10",23,41,"2",202,0.6187,10,1
59,"1","10",9,339,"2",216,0.5433,11,30
60,"1","10",24,342,"2",442,0.9231,2,30
61,"1","10",9,324,"2",317,0.8818,6,30
62,"1","10",12,46,"3",250,0.4342,5,1
63,"1","10",13,42,"2",402,0.4529,15,1
64,"1","10",22,324,"2",318,0.8394,2,30
65,"1","10",5,58,"2",422,0.5905,5,1
66,"1","10",8,366,"2",574,0.7944,8,30
67,"1","10",5,58,"2",421,0.6188,9,1
68,"1","10",6,14,"3",97,0.5188,3,1
